walletId,address,network,isPrimary,createdAt
1,0x1ABCDEF,ETH,true,2024-01-15
2,0x2ABCDEF,ETH,true,2024-01-15
3,0x3ABCDEF,ETH,true,2024-01-15
4,0x4ABCDEF,ETH,true,2024-01-15
5,0x5ABCDEF,ETH,true,2024-01-15
6,0x6ABCDEF,ETH,true,2024-01-15
7,0x7ABCDEF,ETH,true,2024-01-15
8,0x8ABCDEF,ETH,true,2024-01-15
9,0x9ABCDEF,ETH,true,2024-01-15
10,0x10ABCDEF,ETH,true,2024-01-15
11,0x11ABCDEF,ETH,true,2024-01-15
12,0x12ABCDEF,ETH,true,2024-01-15
13,0x13ABCDEF,ETH,true,2024-01-15
14,0x14ABCDEF,ETH,true,2024-01-15
15,0x15ABCDEF,ETH,true,2024-01-15
16,0x16ABCDEF,ETH,true,2024-01-15
17,0x17ABCDEF,ETH,true,2024-01-15
18,0x18ABCDEF,ETH,true,2024-01-15
19,0x19ABCDEF,ETH,true,2024-01-15
20,0x20ABCDEF,ETH,true,2024-01-15
